# Constants
g = 9.810000
m = 0.005000
R = 0.100000
L = 0.200000
Ig = 0.000017
I0 = 0.000067
ue = 0.300000
uc = 0.200000

# Simulation parameters
dt = 0.001000
dtheta0 = 0.000000

# Simulation data
# t 	 slip 	 ii 	 N 	 theta 	 dtheta 	 ddtheta 	 x 	 dx 	 ddx 	 y 	 dy 	 ddy 	 x1 	 y1 	 x2 	 y2
0.053000 0 1 0.048522 1.460302 -0.402774 -8.113090 0.011027 0.040032 0.804573 0.099390 -0.004441 -0.105587 -0.000000 0.000000 0.022054 0.198780
0.054000 0 1 0.048515 1.459895 -0.410902 -8.142840 0.011067 0.040838 0.807413 0.099386 -0.004548 -0.106900 -0.000000 0.000000 0.022135 0.198771
0.055000 0 1 0.048509 1.459480 -0.419060 -8.173184 0.011109 0.041647 0.810309 0.099381 -0.004655 -0.108245 -0.000000 0.000000 0.022217 0.198762
0.056000 0 1 0.048502 1.459057 -0.427248 -8.204124 0.011151 0.042458 0.813261 0.099376 -0.004764 -0.109622 -0.000000 0.000000 0.022301 0.198753
0.057000 0 1 0.048495 1.458626 -0.435468 -8.235662 0.011194 0.043273 0.816268 0.099372 -0.004874 -0.111030 -0.000000 0.000000 0.022387 0.198743
0.058000 0 1 0.048488 1.458186 -0.443720 -8.267801 0.011237 0.044091 0.819331 0.099367 -0.004986 -0.112471 -0.000000 0.000000 0.022474 0.198733
0.059000 0 1 0.048480 1.457738 -0.452004 -8.300543 0.011282 0.044912 0.822450 0.099362 -0.005099 -0.113945 -0.000000 0.000000 0.022563 0.198723
0.060000 0 1 0.048473 1.457282 -0.460321 -8.333889 0.011327 0.045736 0.825625 0.099356 -0.005214 -0.115452 -0.000000 0.000000 0.022654 0.198713
0.061000 0 1 0.048465 1.456818 -0.468672 -8.367844 0.011373 0.046563 0.828857 0.099351 -0.005330 -0.116992 -0.000000 0.000000 0.022746 0.198702
0.062000 0 1 0.048457 1.456345 -0.477057 -8.402408 0.011420 0.047394 0.832145 0.099346 -0.005448 -0.118567 -0.000000 0.000000 0.022840 0.198692
0.063000 0 1 0.048449 1.455863 -0.485477 -8.437584 0.011468 0.048227 0.835489 0.099340 -0.005567 -0.120176 -0.000000 0.000000 0.022936 0.198680
0.064000 0 1 0.048441 1.455374 -0.493932 -8.473375 0.011517 0.049065 0.838890 0.099335 -0.005688 -0.121819 -0.000000 0.000000 0.023033 0.198669
0.065000 0 1 0.048433 1.454876 -0.502424 -8.509784 0.011566 0.049905 0.842348 0.099329 -0.005811 -0.123499 -0.000000 0.000000 0.023132 0.198658
0.066000 0 1 0.048424 1.454369 -0.510952 -8.546812 0.011616 0.050749 0.845862 0.099323 -0.005935 -0.125214 -0.000000 0.000000 0.023233 0.198646
0.067000 0 1 0.048415 1.453854 -0.519518 -8.584462 0.011668 0.051597 0.849434 0.099317 -0.006062 -0.126966 -0.000000 0.000000 0.023335 0.198634
0.068000 0 1 0.048406 1.453330 -0.528121 -8.622737 0.011720 0.052448 0.853063 0.099311 -0.006189 -0.128755 -0.000000 0.000000 0.023439 0.198622
0.069000 0 1 0.048397 1.452797 -0.536764 -8.661640 0.011773 0.053303 0.856749 0.099305 -0.006319 -0.130581 -0.000000 0.000000 0.023545 0.198609
0.070000 0 1 0.048388 1.452256 -0.545445 -8.701174 0.011826 0.054162 0.860493 0.099298 -0.006451 -0.132445 -0.000000 0.000000 0.023653 0.198596
0.071000 0 1 0.048378 1.451706 -0.554166 -8.741340 0.011881 0.055024 0.864294 0.099292 -0.006584 -0.134347 -0.000000 0.000000 0.023762 0.198583
0.072000 0 1 0.048369 1.451148 -0.562928 -8.782143 0.011936 0.055890 0.868153 0.099285 -0.006719 -0.136289 -0.000000 0.000000 0.023873 0.198570
0.073000 0 1 0.048359 1.450581 -0.571731 -8.823584 0.011993 0.056760 0.872070 0.099278 -0.006857 -0.138270 -0.000000 0.000000 0.023985 0.198557
0.074000 0 1 0.048349 1.450004 -0.580575 -8.865667 0.012050 0.057634 0.876045 0.099271 -0.006996 -0.140291 -0.000000 0.000000 0.024100 0.198543
0.075000 0 1 0.048338 1.449419 -0.589462 -8.908394 0.012108 0.058513 0.880078 0.099264 -0.007137 -0.142353 -0.000000 0.000000 0.024216 0.198529
0.076000 0 1 0.048328 1.448826 -0.598392 -8.951769 0.012167 0.059395 0.884170 0.099257 -0.007281 -0.144456 -0.000000 0.000000 0.024334 0.198514
0.077000 0 1 0.048317 1.448223 -0.607366 -8.995794 0.012227 0.060281 0.888320 0.099250 -0.007426 -0.146601 -0.000000 0.000000 0.024453 0.198499
0.078000 0 1 0.048306 1.447611 -0.616384 -9.040473 0.012287 0.061171 0.892528 0.099242 -0.007574 -0.148789 -0.000000 0.000000 0.024575 0.198484
0.079000 0 1 0.048295 1.446990 -0.625447 -9.085809 0.012349 0.062066 0.896796 0.099235 -0.007724 -0.151020 -0.000000 0.000000 0.024698 0.198469
0.080000 0 1 0.048284 1.446360 -0.634556 -9.131804 0.012412 0.062965 0.901122 0.099227 -0.007876 -0.153295 -0.000000 0.000000 0.024823 0.198454
0.081000 0 1 0.048272 1.445721 -0.643711 -9.178463 0.012475 0.063868 0.905507 0.099219 -0.008030 -0.155614 -0.000000 0.000000 0.024950 0.198438
0.082000 0 1 0.048260 1.445072 -0.652913 -9.225788 0.012539 0.064776 0.909952 0.099211 -0.008187 -0.157978 -0.000000 0.000000 0.025079 0.198421
0.083000 0 1 0.048248 1.444415 -0.662163 -9.273782 0.012605 0.065688 0.914455 0.099202 -0.008346 -0.160388 -0.000000 0.000000 0.025209 0.198405
0.084000 0 1 0.048236 1.443748 -0.671461 -9.322449 0.012671 0.066605 0.919019 0.099194 -0.008508 -0.162844 -0.000000 0.000000 0.025341 0.198388
0.085000 0 1 0.048223 1.443072 -0.680808 -9.371792 0.012738 0.067526 0.923641 0.099185 -0.008672 -0.165348 -0.000000 0.000000 0.025475 0.198371
0.086000 0 1 0.048211 1.442386 -0.690205 -9.421815 0.012806 0.068452 0.928324 0.099177 -0.008839 -0.167899 -0.000000 0.000000 0.025611 0.198353
0.087000 0 1 0.048198 1.441692 -0.699652 -9.472521 0.012875 0.069383 0.933066 0.099168 -0.009008 -0.170499 -0.000000 0.000000 0.025749 0.198336
0.088000 0 1 0.048184 1.440987 -0.709150 -9.523913 0.012944 0.070318 0.937869 0.099159 -0.009180 -0.173148 -0.000000 0.000000 0.025889 0.198317
0.089000 0 1 0.048171 1.440273 -0.718700 -9.575995 0.013015 0.071259 0.942731 0.099149 -0.009354 -0.175848 -0.000000 0.000000 0.026031 0.198299
0.090000 0 1 0.048157 1.439550 -0.728302 -9.628771 0.013087 0.072204 0.947654 0.099140 -0.009531 -0.178598 -0.000000 0.000000 0.026174 0.198280
0.091000 0 1 0.048143 1.438817 -0.737957 -9.682244 0.013160 0.073154 0.952638 0.099130 -0.009711 -0.181400 -0.000000 0.000000 0.026319 0.198261
0.092000 0 1 0.048129 1.438074 -0.747667 -9.736418 0.013233 0.074109 0.957681 0.099121 -0.009894 -0.184254 -0.000000 0.000000 0.026467 0.198241
0.093000 0 1 0.048114 1.437321 -0.757431 -9.791297 0.013308 0.075069 0.962786 0.099111 -0.010080 -0.187162 -0.000000 0.000000 0.026616 0.198221
0.094000 0 1 0.048099 1.436559 -0.767250 -9.846884 0.013383 0.076035 0.967951 0.099100 -0.010268 -0.190123 -0.000000 0.000000 0.026767 0.198201
0.095000 0 1 0.048084 1.435787 -0.777125 -9.903184 0.013460 0.077005 0.973178 0.099090 -0.010460 -0.193139 -0.000000 0.000000 0.026920 0.198180
0.096000 0 1 0.048069 1.435005 -0.787056 -9.960199 0.013537 0.077981 0.978465 0.099079 -0.010655 -0.196211 -0.000000 0.000000 0.027075 0.198159
0.097000 0 1 0.048053 1.434213 -0.797045 -10.017934 0.013616 0.078962 0.983814 0.099069 -0.010853 -0.199340 -0.000000 0.000000 0.027232 0.198137
0.098000 0 1 0.048037 1.433411 -0.807092 -10.076393 0.013695 0.079949 0.989224 0.099058 -0.011053 -0.202526 -0.000000 0.000000 0.027391 0.198115
0.099000 0 1 0.048021 1.432598 -0.817198 -10.135580 0.013776 0.080941 0.994695 0.099047 -0.011258 -0.205771 -0.000000 0.000000 0.027552 0.198093
0.100000 0 1 0.048005 1.431776 -0.827364 -10.195499 0.013857 0.081938 1.000228 0.099035 -0.011465 -0.209075 -0.000000 0.000000 0.027715 0.198070
0.101000 0 1 0.047988 1.430944 -0.837589 -10.256153 0.013940 0.082941 1.005822 0.099024 -0.011676 -0.212439 -0.000000 0.000000 0.027879 0.198047
0.102000 0 1 0.047971 1.430101 -0.847876 -10.317548 0.014023 0.083950 1.011479 0.099012 -0.011890 -0.215864 -0.000000 0.000000 0.028046 0.198024
0.103000 0 1 0.047953 1.429248 -0.858225 -10.379687 0.014108 0.084964 1.017197 0.099000 -0.012108 -0.219351 -0.000000 0.000000 0.028215 0.198000
0.104000 0 1 0.047935 1.428384 -0.868636 -10.442574 0.014193 0.085984 1.022977 0.098988 -0.012329 -0.222901 -0.000000 0.000000 0.028386 0.197975
0.105000 0 1 0.047917 1.427511 -0.879110 -10.506214 0.014280 0.087010 1.028819 0.098975 -0.012553 -0.226516 -0.000000 0.000000 0.028559 0.197950
0.106000 0 1 0.047899 1.426626 -0.889649 -10.570611 0.014367 0.088042 1.034723 0.098963 -0.012782 -0.230196 -0.000000 0.000000 0.028734 0.197925
0.107000 0 1 0.047880 1.425731 -0.900252 -10.635769 0.014456 0.089080 1.040690 0.098950 -0.013014 -0.233941 -0.000000 0.000000 0.028911 0.197899
0.108000 0 1 0.047861 1.424826 -0.910920 -10.701693 0.014545 0.090123 1.046719 0.098937 -0.013250 -0.237754 -0.000000 0.000000 0.029091 0.197873
0.109000 0 1 0.047842 1.423909 -0.921655 -10.768387 0.014636 0.091173 1.052810 0.098923 -0.013489 -0.241636 -0.000000 0.000000 0.029272 0.197846
0.110000 0 1 0.047822 1.422982 -0.932457 -10.835856 0.014728 0.092229 1.058964 0.098910 -0.013733 -0.245586 -0.000000 0.000000 0.029455 0.197819
0.111000 0 1 0.047802 1.422044 -0.943327 -10.904103 0.014820 0.093291 1.065181 0.098896 -0.013980 -0.249607 -0.000000 0.000000 0.029641 0.197791
0.112000 0 1 0.047782 1.421096 -0.954266 -10.973135 0.014914 0.094359 1.071460 0.098882 -0.014232 -0.253700 -0.000000 0.000000 0.029828 0.197763
0.113000 0 1 0.047761 1.420136 -0.965274 -11.042955 0.015009 0.095434 1.077801 0.098867 -0.014488 -0.257865 -0.000000 0.000000 0.030018 0.197734
0.114000 0 1 0.047739 1.419165 -0.976352 -11.113568 0.015105 0.096515 1.084206 0.098853 -0.014748 -0.262104 -0.000000 0.000000 0.030210 0.197705
0.115000 0 1 0.047718 1.418183 -0.987501 -11.184978 0.015202 0.097602 1.090673 0.098838 -0.015012 -0.266418 -0.000000 0.000000 0.030404 0.197675
0.116000 0 1 0.047696 1.417190 -0.998722 -11.257191 0.015300 0.098696 1.097203 0.098823 -0.015281 -0.270809 -0.000000 0.000000 0.030601 0.197645
0.117000 0 1 0.047674 1.416186 -1.010016 -11.330211 0.015400 0.099797 1.103796 0.098807 -0.015554 -0.275276 -0.000000 0.000000 0.030799 0.197614
0.118000 0 1 0.047651 1.415170 -1.021383 -11.404044 0.015500 0.100904 1.110452 0.098791 -0.015831 -0.279823 -0.000000 0.000000 0.031000 0.197583
0.119000 0 1 0.047628 1.414143 -1.032824 -11.478693 0.015601 0.102018 1.117171 0.098775 -0.016113 -0.284449 -0.000000 0.000000 0.031203 0.197551
0.120000 0 1 0.047604 1.413104 -1.044341 -11.554164 0.015704 0.103138 1.123953 0.098759 -0.016400 -0.289157 -0.000000 0.000000 0.031408 0.197518
0.121000 0 1 0.047580 1.412054 -1.055933 -11.630463 0.015808 0.104266 1.130798 0.098743 -0.016692 -0.293948 -0.000000 0.000000 0.031615 0.197485
0.122000 0 1 0.047556 1.410992 -1.067602 -11.707593 0.015912 0.105400 1.137705 0.098726 -0.016988 -0.298822 -0.000000 0.000000 0.031825 0.197452
0.123000 0 1 0.047531 1.409919 -1.079348 -11.785560 0.016018 0.106541 1.144676 0.098709 -0.017289 -0.303781 -0.000000 0.000000 0.032037 0.197417
0.124000 0 1 0.047506 1.408834 -1.091173 -11.864370 0.016126 0.107689 1.151710 0.098691 -0.017596 -0.308827 -0.000000 0.000000 0.032251 0.197383
0.125000 0 1 0.047480 1.407737 -1.103077 -11.944027 0.016234 0.108845 1.158806 0.098674 -0.017907 -0.313961 -0.000000 0.000000 0.032468 0.197347
0.126000 0 1 0.047454 1.406628 -1.115062 -12.024536 0.016343 0.110007 1.165966 0.098655 -0.018224 -0.319184 -0.000000 0.000000 0.032686 0.197311
0.127000 0 1 0.047428 1.405506 -1.127127 -12.105904 0.016454 0.111176 1.173188 0.098637 -0.018546 -0.324498 -0.000000 0.000000 0.032908 0.197274
0.128000 0 1 0.047400 1.404373 -1.139274 -12.188134 0.016566 0.112353 1.180473 0.098618 -0.018873 -0.329905 -0.000000 0.000000 0.033131 0.197237
0.129000 0 1 0.047373 1.403228 -1.151503 -12.271233 0.016679 0.113537 1.187820 0.098599 -0.019205 -0.335405 -0.000000 0.000000 0.033357 0.197199
0.130000 0 1 0.047345 1.402070 -1.163816 -12.355206 0.016793 0.114729 1.195230 0.098580 -0.019544 -0.341000 -0.000000 0.000000 0.033585 0.197160
0.131000 0 1 0.047317 1.400900 -1.176214 -12.440059 0.016908 0.115928 1.202703 0.098560 -0.019887 -0.346693 -0.000000 0.000000 0.033816 0.197120
0.132000 0 1 0.047288 1.399718 -1.188697 -12.525796 0.017025 0.117134 1.210238 0.098540 -0.020237 -0.352483 -0.000000 0.000000 0.034049 0.197080
0.133000 0 1 0.047258 1.398523 -1.201266 -12.612424 0.017142 0.118348 1.217836 0.098520 -0.020592 -0.358373 -0.000000 0.000000 0.034285 0.197040
0.134000 0 1 0.047228 1.397315 -1.213922 -12.699948 0.017261 0.119570 1.225496 0.098499 -0.020954 -0.364365 -0.000000 0.000000 0.034522 0.196998
0.135000 0 1 0.047198 1.396095 -1.226666 -12.788373 0.017381 0.120799 1.233217 0.098478 -0.021321 -0.370461 -0.000000 0.000000 0.034763 0.196956
0.136000 0 1 0.047167 1.394862 -1.239499 -12.877706 0.017503 0.122037 1.241001 0.098456 -0.021695 -0.376660 -0.000000 0.000000 0.035006 0.196913
0.137000 0 1 0.047135 1.393616 -1.252422 -12.967952 0.017625 0.123281 1.248847 0.098434 -0.022075 -0.382967 -0.000000 0.000000 0.035251 0.196869
0.138000 0 1 0.047103 1.392357 -1.265435 -13.059117 0.017749 0.124534 1.256754 0.098412 -0.022461 -0.389381 -0.000000 0.000000 0.035499 0.196824
0.139000 0 1 0.047070 1.391085 -1.278540 -13.151206 0.017875 0.125795 1.264722 0.098390 -0.022853 -0.395906 -0.000000 0.000000 0.035749 0.196779
0.140000 0 1 0.047037 1.389800 -1.291738 -13.244226 0.018001 0.127064 1.272752 0.098366 -0.023253 -0.402542 -0.000000 0.000000 0.036002 0.196733
0.141000 0 1 0.047004 1.388501 -1.305029 -13.338182 0.018129 0.128341 1.280842 0.098343 -0.023658 -0.409292 -0.000000 0.000000 0.036257 0.196686
0.142000 0 1 0.046969 1.387190 -1.318415 -13.433081 0.018258 0.129625 1.288993 0.098319 -0.024071 -0.416157 -0.000000 0.000000 0.036515 0.196638
0.143000 0 1 0.046934 1.385865 -1.331896 -13.528928 0.018388 0.130919 1.297205 0.098295 -0.024491 -0.423139 -0.000000 0.000000 0.036776 0.196590
0.144000 0 1 0.046899 1.384526 -1.345473 -13.625730 0.018520 0.132220 1.305477 0.098270 -0.024917 -0.430240 -0.000000 0.000000 0.037039 0.196540
0.145000 0 1 0.046863 1.383174 -1.359147 -13.723492 0.018652 0.133529 1.313809 0.098245 -0.025351 -0.437462 -0.000000 0.000000 0.037305 0.196490
0.146000 0 1 0.046826 1.381808 -1.372920 -13.822220 0.018787 0.134847 1.322200 0.098219 -0.025792 -0.444807 -0.000000 0.000000 0.037573 0.196439
0.147000 0 1 0.046789 1.380428 -1.386792 -13.921922 0.018922 0.136174 1.330651 0.098193 -0.026241 -0.452277 -0.000000 0.000000 0.037844 0.196387
0.148000 0 1 0.046751 1.379034 -1.400764 -14.022602 0.019059 0.137509 1.339160 0.098167 -0.026697 -0.459873 -0.000000 0.000000 0.038118 0.196334
0.149000 0 1 0.046712 1.377626 -1.414838 -14.124268 0.019197 0.138852 1.347728 0.098140 -0.027161 -0.467598 -0.000000 0.000000 0.038394 0.196280
0.150000 0 1 0.046673 1.376204 -1.429013 -14.226925 0.019337 0.140204 1.356355 0.098113 -0.027632 -0.475455 -0.000000 0.000000 0.038673 0.196225
0.151000 0 1 0.046633 1.374768 -1.443292 -14.330581 0.019478 0.141565 1.365039 0.098085 -0.028112 -0.483444 -0.000000 0.000000 0.038955 0.196170
0.152000 0 1 0.046592 1.373318 -1.457675 -14.435240 0.019620 0.142934 1.373780 0.098056 -0.028599 -0.491568 -0.000000 0.000000 0.039240 0.196113
0.153000 0 1 0.046551 1.371853 -1.472163 -14.540911 0.019763 0.144313 1.382578 0.098028 -0.029095 -0.499829 -0.000000 0.000000 0.039527 0.196055
0.154000 0 1 0.046509 1.370373 -1.486757 -14.647599 0.019908 0.145700 1.391433 0.097998 -0.029599 -0.508230 -0.000000 0.000000 0.039817 0.195996
0.155000 0 1 0.046466 1.368879 -1.501458 -14.755310 0.020055 0.147095 1.400343 0.097968 -0.030111 -0.516772 -0.000000 0.000000 0.040110 0.195937
0.156000 0 1 0.046423 1.367370 -1.516268 -14.864052 0.020203 0.148500 1.409309 0.097938 -0.030633 -0.525458 -0.000000 0.000000 0.040405 0.195876
0.157000 0 1 0.046379 1.365847 -1.531187 -14.973830 0.020352 0.149914 1.418329 0.097907 -0.031162 -0.534291 -0.000000 0.000000 0.040704 0.195814
0.158000 0 1 0.046334 1.364308 -1.546216 -15.084652 0.020502 0.151337 1.427404 0.097876 -0.031701 -0.543271 -0.000000 0.000000 0.041005 0.195751
